time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,gpu,gpu_mem,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,memory_percent_ipykernel
27-5-2021 15:3:13,1622142193.215036,1000.0,84.6,4960.72,2695.27,9534.49,24.2,96658507,130999616,0.0002880623797977873,0.0016819962816035984,0,0,69461,425,0,602112,47694490,683658,309.99,199.61,0.02,0.07,6.528391009428628
27-5-2021 15:3:18,1622142198.2224116,1000.0,77.7,4970.58,2700.87,9538.72,24.2,96790541,131171923,0.0002636790356023124,0.0003441063937131924,0,0,70494,428,0,602112,47774316,686967,315.3,203.55,0.02,0.07,6.558601811423357
27-5-2021 15:3:23,1622142203.2262459,1000.0,84.6,4981.0,2706.68,9542.18,24.0,96920339,131340480,0.0002593970814731478,0.00033685568238238936,0,0,71525,430,0,602112,47853068,689173,321.48,208.72,0.02,0.07,6.525737357902065
27-5-2021 15:3:28,1622142208.2274778,1000.0,85.5,4991.09,2712.14,9546.21,24.1,97055934,131515901,0.00027112320018885726,0.00035075558022293986,0,0,72560,434,0,602112,47934031,693585,326.61,212.54,0.02,0.07,6.5230837063755
27-5-2021 15:3:33,1622142213.2312417,1000.0,96.3,4999.83,2717.14,9551.89,24.2,97183636,131674542,0.00025521188088019103,0.00031704333522352345,0,0,73586,436,0,602112,48012466,695791,331.09,216.67,0.02,0.07,6.524206405098278
27-5-2021 15:3:38,1622142218.247492,1000.0,54.9,5009.24,2721.67,9557.32,24.1,97317806,131844893,0.00026747070032769987,0.0003395982803273757,0,0,74614,439,0,602112,48092017,699100,336.25,220.32,0.02,0.07,6.405404467524408
27-5-2021 15:3:43,1622142223.2510912,1000.0,92.9,5019.13,2727.33,9561.24,24.1,97448531,132016482,0.00026126193493986835,0.000342931146715602,0,0,75640,441,0,602112,48170475,701306,341.81,224.82,0.02,0.07,6.531248787995697
27-5-2021 15:3:48,1622142228.2546325,1000.0,38.9,5028.02,2732.41,9566.37,24.1,97583665,132189969,0.00027007671918153746,0.00034672843089561024,0,0,76662,444,0,602112,48249735,704615,346.27,228.6,0.02,0.07,6.5216548170919655
27-5-2021 15:3:53,1622142233.2576387,1000.0,84.9,5037.74,2737.62,9570.91,24.2,97721401,133015788,0.00027530647364205587,0.0016506455593062739,0,0,77680,445,0,602112,48326777,705718,351.21,232.49,0.02,0.07,6.5177764033223715
27-5-2021 15:3:58,1622142238.261408,1000.0,73.9,5047.41,2743.31,9575.09,24.1,97854832,133188459,0.0002666609697488914,0.00034508184985131504,0,0,78702,448,0,602112,48406027,709027,356.96,237.5,0.02,0.07,6.521858944132471
27-5-2021 15:4:3,1622142243.265074,1000.0,86.0,5057.4,2748.59,9579.43,24.2,97986102,133361587,0.0002623476506864093,0.0003460023163558823,0,0,79729,451,0,602112,48485563,712334,362.17,241.11,0.02,0.07,6.5266559295843365
27-5-2021 15:4:8,1622142248.273639,900.0,33.2,5067.14,2753.57,9584.11,24.5,98226285,134522561,0.0004795445450822099,0.0023179773284631865,0,0,80754,453,0,602112,48564031,714540,367.73,244.94,0.02,0.07,6.504201955128794
27-5-2021 15:4:13,1622142253.2771277,1000.0,78.0,5078.35,2759.04,9587.07,24.3,98353325,134687603,0.00025390283781882275,0.0003298538425637133,0,0,81779,455,0,602112,48642480,716746,373.32,249.5,0.02,0.07,6.525022913260297
27-5-2021 15:4:18,1622142258.2812297,1000.0,84.7,5088.55,2764.32,9591.09,24.2,98483229,134859030,0.0002595950286718226,0.0003425729537206286,0,0,82806,458,0,602112,48722006,720055,378.76,253.22,0.02,0.07,6.518388784443887
27-5-2021 15:4:23,1622142263.2850358,1000.0,79.9,5098.99,2769.68,9594.72,24.1,98613087,135027083,0.000259518448629669,0.0003358503430482663,0,0,83831,460,0,602112,48800429,722259,385.31,258.0,0.02,0.07,6.528595136469133
27-5-2021 15:4:28,1622142268.2874434,1000.0,61.8,5108.65,2775.09,9599.14,24.2,98745057,135200955,0.0002638129713733231,0.00034757663831645394,0,0,84852,463,0,602112,48879631,725568,389.78,262.02,0.02,0.07,6.523185769895752
27-5-2021 15:4:33,1622142273.2896774,1000.0,78.9,5117.19,2779.71,9605.21,24.2,98885048,136024345,0.00027985696091252564,0.0016460445531910229,0,0,85869,464,0,602112,48956636,726669,394.57,266.07,0.02,0.07,6.516551641079342
27-5-2021 15:4:38,1622142278.2932,1000.0,64.2,5126.73,2785.26,9609.67,24.2,99017416,136197594,0.000264549617677632,0.00034625405470379596,0,0,86895,467,0,602112,49036149,729978,399.88,269.94,0.02,0.07,6.423877964690104
27-5-2021 15:4:43,1622142283.2969222,1000.0,76.3,5136.85,2790.58,9613.78,24.1,99147271,136365393,0.0002595168057836583,0.00033534835388465657,0,0,87919,469,0,602112,49114569,732184,405.4,274.59,0.02,0.07,6.528799263509638
