time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,gpu,gpu_mem,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,memory_percent_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel
29-5-2021 17:48:14,1622324894.2354934,1000.0,92.7,1355.71,531.23,865.94,19.9,37354193,23197519,0.0008690139241384795,0.00037194865469373763,0,0,97801,542,4210688,602112,49739394,812628,6.49991528727819,595.85,262.82,0.02,0.11
29-5-2021 17:48:19,1622324899.2375245,1000.0,93.3,1368.7,537.09,867.01,20.1,37804272,23390306,0.0008997924884772616,0.00038541743666348764,0,0,98810,545,4210688,602112,49815846,815937,6.504814336250309,601.4,265.54,0.02,0.11
29-5-2021 17:48:24,1622324904.2385213,1000.0,90.7,1381.89,542.68,868.02,20.0,38221699,23569514,0.0008346875919941841,0.00035834455841642673,0,0,99817,547,4210688,602112,49891204,818143,6.4978740168731415,608.12,268.98,0.02,0.11
29-5-2021 17:48:29,1622324909.2442863,1000.0,94.0,1395.02,548.07,869.4,20.0,38473624,23750813,0.0005032697338978934,0.0003621804087960868,0,0,100826,550,4210688,602112,49967669,821452,6.430001775905253,614.52,271.46,0.02,0.11
29-5-2021 17:48:34,1622324914.2639537,1000.0,88.5,1407.87,553.99,870.43,20.0,38818445,23917185,0.0006869399372803596,0.00033144028712058714,0,0,101833,552,4210688,602112,50043045,823658,6.3822360484270995,620.38,274.78,0.02,0.11
29-5-2021 17:48:39,1622324919.271686,1000.0,94.3,1420.71,559.86,871.58,20.1,39177415,24110232,0.0007168314357602798,0.00038549783597296354,0,0,102842,555,4210688,602112,50119511,826967,6.466132262074625,626.86,277.92,0.02,0.11
29-5-2021 17:48:44,1622324924.2719688,1000.0,99.3,1434.5,564.83,872.6,20.0,39561630,24281813,0.0007683865455225473,0.0003431425942956526,0,0,103849,557,4210688,602112,50194908,829173,6.5000173507984425,633.48,281.07,0.02,0.11
29-5-2021 17:48:49,1622324929.2869368,1000.0,94.5,1448.06,570.23,873.44,19.9,39860032,24467401,0.0005950227496080212,0.00037006816996619805,0,0,104852,560,4210688,602112,50271088,832482,6.446638129706404,639.81,283.96,0.02,0.11
29-5-2021 17:48:54,1622324934.2926219,1000.0,90.0,1460.34,575.67,875.47,20.0,40103320,24632375,0.00048602338256658077,0.00032957326919346244,0,0,105853,562,4210688,602112,50346142,834688,6.495526555907334,645.74,287.15,0.02,0.11
29-5-2021 17:48:59,1622324939.2956958,1000.0,90.1,1473.71,580.97,876.65,20.1,40467538,24830616,0.000727988442789417,0.0003962383981215009,0,0,106856,565,4210688,602112,50422329,837995,6.49654719110986,652.48,290.13,0.02,0.11
