time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,memory_percent_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel
11-6-2021 19:43:57,1623455037.3404818,600.0,99.8,7700.61,2627.15,3691.17,49.1,134612481,143100598,0.0014644816269463973,0.00032086211355956956,65.244,0,0,95541,405,1146880,471040,47078135,633466,13.252411945671055,567.53,210.35,0.02,0.17
11-6-2021 19:44:2,1623455042.3432205,600.0,99.8,7713.2,2633.53,3692.14,49.3,135226134,143256116,0.0012266341199390536,0.0003108657255235153,65.731,0,0,96587,407,1146880,471040,47158058,635796,13.247179959399785,573.66,213.3,0.02,0.17
11-6-2021 19:44:7,1623455047.3498724,600.0,99.8,7726.3,2639.92,3692.74,49.2,135918654,143418146,0.0013831998246046796,0.00032362945125151074,65.244,0,0,97631,408,1146880,471040,47236854,636961,13.243203649833625,580.11,216.1,0.02,0.17
11-6-2021 19:44:12,1623455052.360083,600.0,91.6,7739.58,2645.4,3693.71,49.4,136644623,144564583,0.0014489789668820068,0.0022882011488855685,65.731,0,0,98677,410,1146880,471040,47316793,639289,13.255969696335518,585.41,218.4,0.02,0.17
11-6-2021 19:44:17,1623455057.3676214,600.0,94.4,7753.07,2650.49,3694.9,49.5,137211598,144720580,0.0011322429583617457,0.000311524326073561,64.27,0,0,99723,412,1146880,471040,47396736,641619,13.34114643283176,590.53,220.56,0.02,0.17
11-6-2021 19:44:22,1623455062.3779073,600.0,99.8,7768.42,2654.7,3695.2,49.3,137957362,145381548,0.0014884659711662267,0.00131922213465627,66.218,0,0,100767,413,1146880,471040,47475522,642784,13.332984534248581,597.37,223.14,0.02,0.17
11-6-2021 19:44:27,1623455067.379576,600.0,99.5,7783.33,2659.21,3695.63,49.7,138786288,145636919,0.00165729889583912,0.000510571602687492,66.705,0,0,101805,414,1146880,471040,47553960,643949,13.253667622376158,603.23,225.92,0.02,0.17
11-6-2021 19:44:32,1623455072.3809898,600.0,96.7,7798.11,2663.85,3696.13,49.3,139554047,145807436,0.0015350839328593323,0.0003409375949736503,65.731,0,0,102855,418,1146880,471040,47636222,648609,13.255969696335518,609.33,228.51,0.02,0.17
11-6-2021 19:44:37,1623455077.4002159,600.0,92.0,7812.53,2668.83,3696.79,49.3,140298822,145969011,0.001483844299872317,0.00032191217851279866,65.731,0,0,103901,420,1146880,471040,47716112,650939,13.061549086495198,614.78,230.82,0.02,0.17
11-6-2021 19:44:42,1623455082.4178066,600.0,99.0,7827.25,2673.33,3697.32,49.2,141105092,146117615,0.001606886727863859,0.00029616604277410907,66.218,0,0,104947,422,1146880,471040,47795987,653269,13.319381369943283,620.68,233.54,0.02,0.17
11-6-2021 19:44:47,1623455087.4197593,600.0,98.8,7841.92,2678.03,3698.02,49.1,141877614,146276979,0.0015444408500822938,0.0003186035758625834,64.27,0,0,105993,424,1146880,471040,47875898,655599,13.238599501914909,626.61,236.51,0.02,0.17
11-6-2021 19:44:52,1623455092.4250102,600.0,98.0,7856.32,2682.81,3698.48,49.2,142599963,146943678,0.0014431823898318455,0.0013319991529281573,65.244,0,0,107037,425,1146880,471040,47954644,656764,13.252202666220203,632.27,239.28,0.02,0.17
11-6-2021 19:44:57,1623455097.4486845,600.0,91.7,7870.43,2687.87,3699.19,49.1,143327762,147111023,0.0014487384408948167,0.0003331127610666449,66.218,0,0,108083,427,1146880,471040,48034529,659094,13.18690747755478,637.42,241.66,0.02,0.17
11-6-2021 19:45:2,1623455102.4605644,600.0,95.4,7884.3,2693.09,3699.96,49.2,143975756,147267256,0.0012929160518992406,0.0003117253455068628,65.731,0,0,109129,429,1146880,471040,48114436,661424,13.246970679948936,642.4,244.19,0.02,0.17
11-6-2021 19:45:7,1623455107.4667828,600.0,99.5,7898.9,2697.47,3700.7,49.3,144652989,147433136,0.001352783561109502,0.0003313479070229067,66.218,0,0,110175,431,1146880,471040,48194356,663752,13.115333905363832,649.21,246.6,0.02,0.17
11-6-2021 19:45:12,1623455112.4903443,600.0,99.0,7913.38,2702.36,3701.21,49.2,145407091,147602635,0.0015011302307204857,0.0003374080336305852,66.705,0,0,111221,433,1146880,471040,48274268,666082,13.246761400498086,654.32,249.25,0.02,0.17
11-6-2021 19:45:17,1623455117.4981196,600.0,99.8,7927.56,2707.06,3702.17,49.4,146025565,147760104,0.0012350274565480735,0.00031444901249716006,65.244,0,0,112265,434,1146880,471040,48352962,667247,13.249900592260847,660.38,251.86,0.02,0.17
11-6-2021 19:45:22,1623455122.5010688,600.0,97.8,7941.78,2712.36,3702.65,49.3,146754873,149412177,0.001457756146087308,0.0033021982064297896,65.731,0,0,113313,437,1146880,471040,48434029,670740,13.249691312809993,667.02,254.91,0.02,0.17
11-6-2021 19:45:27,1623455127.5033336,600.0,100.0,7955.61,2718.05,3703.0,49.2,147536968,149575580,0.0015634818246339703,0.00032665804101888476,65.244,0,0,114357,438,1146880,471040,48512735,671905,13.254086181277861,672.8,257.63,0.02,0.17
11-6-2021 19:45:32,1623455132.5140693,600.0,96.0,7969.55,2723.34,3703.82,49.6,148306933,149730508,0.0015366306234957984,0.00030919211813128786,65.731,0,0,115403,440,1146880,471040,48592671,674235,13.26517799217295,678.86,260.16,0.02,0.17
